Number,Reference ID,Tube Diameter,Heated Length,Pressure,Mass Flux,Outlet Quality,Inlet Subcooling,Inlet Temperature,CHF,CHF LUT,Enthalpy value of water,Enthalpy value of air,Enthalpy Temperature,H/D
28,1,0.004,0.991,100,78.8,0.95,329,21.08,196,207.380276786391,417.4364858162317,2674.9496408321465,372.7559186113376,247.75
29,1,0.004,0.991,100,135.9,0.89,329,21.08,315,524.916405662468,417.4364858162317,2674.9496408321465,372.7559186113376,247.75
30,1,0.004,0.991,100,203.9,0.8,329,21.08,442,691.735693977114,417.4364858162317,2674.9496408321465,372.7559186113376,247.75
31,1,0.004,0.991,100,271.8,0.81,329,21.08,568,699.245309414672,417.4364858162317,2674.9496408321465,372.7559186113376,247.75
32,1,0.004,0.991,100,421.3,0.72,329,21.08,820,850.379201555647,417.4364858162317,2674.9496408321465,372.7559186113376,247.75
33,1,0.004,0.991,100,421.3,0.74,329,21.08,820,806.204685300005,417.4364858162317,2674.9496408321465,372.7559186113376,247.75
34,1,0.004,0.991,100,421.3,0.7,329,21.08,789,894.553717811289,417.4364858162317,2674.9496408321465,372.7559186113376,247.75
35,1,0.004,0.991,100,421.3,0.79,329,21.08,883,695.768394660899,417.4364858162317,2674.9496408321465,372.7559186113376,247.75
36,1,0.0048,0.478,100,69.3,0.99,319,23.47,442,34.0603065409968,417.4364858162317,2674.9496408321465,372.7559186113376,99.58333333333334
37,1,0.0048,0.478,100,135.9,0.83,319,23.47,757,563.731639109164,417.4364858162317,2674.9496408321465,372.7559186113376,99.58333333333334
38,1,0.0048,0.478,100,203.9,0.74,319,23.47,1041,747.524386552049,417.4364858162317,2674.9496408321465,372.7559186113376,99.58333333333334
39,1,0.0048,0.478,100,285.4,0.69,319,23.47,1325,907.899850239037,417.4364858162317,2674.9496408321465,372.7559186113376,99.58333333333334
40,1,0.0048,0.478,100,407.7,0.58,319,23.47,1672,1376.97777740829,417.4364858162317,2674.9496408321465,372.7559186113376,99.58333333333334
41,1,0.0048,0.478,100,543.6,0.55,319,23.47,2145,1417.61415147225,417.4364858162317,2674.9496408321465,372.7559186113376,99.58333333333334
42,1,0.0048,0.478,100,665.9,0.54,319,23.47,2586,1358.75936702728,417.4364858162317,2674.9496408321465,372.7559186113376,99.58333333333334
43,1,0.0048,0.478,100,706.7,0.53,319,23.47,2649,1405.4863947015,417.4364858162317,2674.9496408321465,372.7559186113376,99.58333333333334
44,1,0.0048,0.478,100,937.8,0.48,319,23.47,3280,1631.62013236851,417.4364858162317,2674.9496408321465,372.7559186113376,99.58333333333334
45,1,0.0048,0.478,100,1386.3,0.43,319,23.47,4510,1561.4471479517,417.4364858162317,2674.9496408321465,372.7559186113376,99.58333333333334
46,1,0.0048,0.716,100,135.9,0.89,326,21.79,536,479.180926976444,417.4364858162317,2674.9496408321465,372.7559186113376,149.16666666666669
47,1,0.0048,0.716,100,203.9,0.77,317,23.94,694,689.494896128321,417.4364858162317,2674.9496408321465,372.7559186113376,149.16666666666669
48,1,0.0048,0.716,100,271.8,0.71,317,23.94,883,837.680725680624,417.4364858162317,2674.9496408321465,372.7559186113376,149.16666666666669
49,1,0.0048,0.716,100,407.7,0.63,317,23.94,1167,1198.00347309614,417.4364858162317,2674.9496408321465,372.7559186113376,149.16666666666669
50,1,0.0048,0.716,100,557.2,0.6,317,23.94,1545,1242.05439837757,417.4364858162317,2674.9496408321465,372.7559186113376,149.16666666666669
51,1,0.0048,0.716,100,665.9,0.59,317,23.94,1829,1038.84655324943,417.4364858162317,2674.9496408321465,372.7559186113376,149.16666666666669
52,1,0.0048,0.716,100,951.4,0.55,317,23.94,2492,1102.66469495201,417.4364858162317,2674.9496408321465,372.7559186113376,149.16666666666669
53,1,0.0048,0.716,100,937.8,0.55,317,23.94,2429,1109.93351009617,417.4364858162317,2674.9496408321465,372.7559186113376,149.16666666666669
54,1,0.0048,0.716,100,1413.4,0.53,317,23.94,3532,921.741582879715,417.4364858162317,2674.9496408321465,372.7559186113376,149.16666666666669
55,1,0.0048,0.955,100,203.9,0.93,317,23.94,631,327.713195886287,417.4364858162317,2674.9496408321465,372.7559186113376,198.95833333333334
56,1,0.0048,0.955,100,271.8,0.75,317,23.94,694,757.327681997969,417.4364858162317,2674.9496408321465,372.7559186113376,198.95833333333334
57,1,0.0048,0.955,100,407.7,0.68,317,23.94,946,929.970433135734,417.4364858162317,2674.9496408321465,372.7559186113376,198.95833333333334
58,1,0.0048,0.955,100,543.6,0.63,317,23.94,1199,1114.3207223512,417.4364858162317,2674.9496408321465,372.7559186113376,198.95833333333334
59,1,0.0048,0.955,100,679.5,0.64,317,23.94,1482,806.834349819755,417.4364858162317,2674.9496408321465,372.7559186113376,198.95833333333334
60,1,0.0048,0.955,100,951.4,0.55,317,23.94,1861,1102.66469495201,417.4364858162317,2674.9496408321465,372.7559186113376,198.95833333333334
61,1,0.0048,0.955,100,1100.9,0.49,317,23.94,1987,1462.70776133015,417.4364858162317,2674.9496408321465,372.7559186113376,198.95833333333334
62,2,0.00384,0.799,7840,3862,0.268,174,260.22,2620,2488.09254622782,1309.3651770187196,2760.967005557745,566.7518420847525,208.07291666666669
63,2,0.00384,0.799,7840,3934,0.165,402,211.74,3061,3234.10757670701,1309.3651770187196,2760.967005557745,566.7518420847525,208.07291666666669
64,2,0.00384,0.799,7840,3934,0.214,271,240.12,2791,2883.92346585443,1309.3651770187196,2760.967005557745,566.7518420847525,208.07291666666669
65,2,0.00384,0.799,7840,3982,0.288,68,281.04,2339,2285.07032628869,1309.3651770187196,2760.967005557745,566.7518420847525,208.07291666666669
66,2,0.00384,0.799,7840,4054,0.172,319,229.87,2840,3143.9085413685,1309.3651770187196,2760.967005557745,566.7518420847525,208.07291666666669
67,2,0.00384,0.799,7840,4990,0.156,290,236.08,3130,3100.80446631842,1309.3651770187196,2760.967005557745,566.7518420847525,208.07291666666669
68,2,0.00384,0.799,7840,4990,0.181,243,246.01,3061,2990.11891416127,1309.3651770187196,2760.967005557745,566.7518420847525,208.07291666666669
69,2,0.00384,0.799,7840,4990,0.227,155,264.05,2930,2766.9557146114,1309.3651770187196,2760.967005557745,566.7518420847525,208.07291666666669
70,2,0.00384,0.799,7840,5013,0.085,564,175.2,4140,3766.34757565597,1309.3651770187196,2760.967005557745,566.7518420847525,208.07291666666669
71,2,0.00384,0.799,7840,5013,0.089,533,182.29,4000,3687.0586683099,1309.3651770187196,2760.967005557745,566.7518420847525,208.07291666666669
72,2,0.00384,0.799,7840,5013,0.105,479,194.54,3830,3435.0936669988,1309.3651770187196,2760.967005557745,566.7518420847525,208.07291666666669
73,2,0.00384,0.799,7840,5013,0.128,388,214.83,3461,3279.05933889537,1309.3651770187196,2760.967005557745,566.7518420847525,208.07291666666669
74,2,0.00384,0.799,7840,5013,0.129,347,223.8,3261,3272.27523767349,1309.3651770187196,2760.967005557745,566.7518420847525,208.07291666666669
75,2,0.00384,0.799,7840,5013,0.198,199,255.13,2970,2917.26857544799,1309.3651770187196,2760.967005557745,566.7518420847525,208.07291666666669
76,2,0.00384,0.799,7840,5013,0.241,104,274.13,2740,2698.19702030545,1309.3651770187196,2760.967005557745,566.7518420847525,208.07291666666669
77,2,0.00384,0.799,7840,5013,0.265,41,286.11,2610,2512.04860791994,1309.3651770187196,2760.967005557745,566.7518420847525,208.07291666666669
78,2,0.00384,0.799,7840,7460,-0.006,634,159.04,5652,7215.17448875589,1309.3651770187196,2760.967005557745,566.7518420847525,208.07291666666669
79,2,0.00384,0.799,7840,7460,0.028,586,170.14,5620,5656.46871164915,1309.3651770187196,2760.967005557745,566.7518420847525,208.07291666666669
80,2,0.00384,0.799,7840,7460,0.034,542,180.24,5320,5409.36880087879,1309.3651770187196,2760.967005557745,566.7518420847525,208.07291666666669
81,2,0.00384,0.799,7840,7460,0.041,497,190.48,5011,5121.0855716467,1309.3651770187196,2760.967005557745,566.7518420847525,208.07291666666669
82,2,0.00384,0.799,7840,7460,0.043,457,199.49,4711,5038.71893472325,1309.3651770187196,2760.967005557745,566.7518420847525,208.07291666666669
83,2,0.00384,0.799,7840,7460,0.05,416,208.64,4420,4750.43570549116,1309.3651770187196,2760.967005557745,566.7518420847525,208.07291666666669
84,2,0.00384,0.799,7840,7460,0.055,384,215.71,4200,4660.9050754875,1309.3651770187196,2760.967005557745,566.7518420847525,208.07291666666669
85,2,0.00384,0.799,7840,7460,0.067,328,227.92,3850,4446.0315634787,1309.3651770187196,2760.967005557745,566.7518420847525,208.07291666666669
86,2,0.00384,0.799,7840,7460,0.077,286,236.93,3620,4266.97030347137,1309.3651770187196,2760.967005557745,566.7518420847525,208.07291666666669
87,2,0.00384,0.799,7840,7460,0.099,243,246.01,3520,3873.03553145524,1309.3651770187196,2760.967005557745,566.7518420847525,208.07291666666669
88,2,0.00384,0.799,7840,7460,0.13,194,256.15,3480,3743.41905656954,1309.3651770187196,2760.967005557745,566.7518420847525,208.07291666666669
89,2,0.00384,0.799,7840,7460,0.168,150,265.05,3580,3608.23281435494,1309.3651770187196,2760.967005557745,566.7518420847525,208.07291666666669
90,2,0.00384,0.799,7840,7460,0.194,99,275.1,3450,3520.53672637863,1309.3651770187196,2760.967005557745,566.7518420847525,208.07291666666669
91,2,0.00384,0.799,7840,7460,0.217,41,286.11,3270,3473.52632712003,1309.3651770187196,2760.967005557745,566.7518420847525,208.07291666666669
92,2,0.00384,0.799,7840,7460,0.129,194,256.15,3500,3747.14273486571,1309.3651770187196,2760.967005557745,566.7518420847525,208.07291666666669
93,2,0.00384,0.799,7840,7460,0.167,145,266.05,3520,3611.60574081557,1309.3651770187196,2760.967005557745,566.7518420847525,208.07291666666669
94,2,0.00384,0.799,7840,7460,0.189,99,275.1,3390,3537.40135868177,1309.3651770187196,2760.967005557745,566.7518420847525,208.07291666666669
95,2,0.00384,0.799,7840,7460,0.21,47,285,3220,3484.55043791202,1309.3651770187196,2760.967005557745,566.7518420847525,208.07291666666669
96,2,0.00384,1.549,7840,3958,0.317,233,248.1,1700,1951.17945572483,1309.3651770187196,2760.967005557745,566.7518420847525,403.38541666666663
97,2,0.00384,1.549,7840,3958,0.32,174,260.22,1580,1911.07738037204,1309.3651770187196,2760.967005557745,566.7518420847525,403.38541666666663
98,2,0.00384,1.549,7840,3958,0.336,99,275.1,1439,1697.19964515712,1309.3651770187196,2760.967005557745,566.7518420847525,403.38541666666663
99,2,0.00384,1.549,7840,3982,0.339,31,287.96,1339,1650.28642549582,1309.3651770187196,2760.967005557745,566.7518420847525,403.38541666666663
100,2,0.00607,0.792,7840,1604,0.312,384,215.71,2620,2865.7842017095,1309.3651770187196,2760.967005557745,566.7518420847525,130.47775947281716
101,2,0.00607,0.792,7840,1604,0.357,300,233.95,2520,2608.61101961971,1309.3651770187196,2760.967005557745,566.7518420847525,130.47775947281716
102,2,0.00607,0.792,7840,1604,0.385,199,255.13,2330,2447.24735354094,1309.3651770187196,2760.967005557745,566.7518420847525,130.47775947281716
103,2,0.00607,0.792,7840,2199,0.181,488,192.51,3161,3312.05008892243,1309.3651770187196,2760.967005557745,566.7518420847525,130.47775947281716
104,2,0.00607,0.792,7840,2199,0.21,393,213.73,2940,3072.05353744876,1309.3651770187196,2760.967005557745,566.7518420847525,130.47775947281716
105,2,0.00607,0.792,7840,2199,0.318,47,285,2210,2288.72726183524,1309.3651770187196,2760.967005557745,566.7518420847525,130.47775947281716
106,2,0.00607,0.792,7840,2208,0.154,568,174.28,3330,3542.26101592045,1309.3651770187196,2760.967005557745,566.7518420847525,130.47775947281716
107,2,0.00607,0.792,7840,2208,0.255,262,242.02,2680,2736.8846687365,1309.3651770187196,2760.967005557745,566.7518420847525,130.47775947281716
108,2,0.00607,0.792,7840,2208,0.291,165,262.04,2480,2459.62069935704,1309.3651770187196,2760.967005557745,566.7518420847525,130.47775947281716
109,2,0.00607,0.792,7840,2698,0.079,630,159.97,3830,4021.27566148729,1309.3651770187196,2760.967005557745,566.7518420847525,130.47775947281716
110,2,0.00607,0.792,7840,2698,0.125,479,194.54,3420,3442.28599064866,1309.3651770187196,2760.967005557745,566.7518420847525,130.47775947281716
111,2,0.00607,0.792,7840,2688,0.159,351,222.93,3000,3129.69581316759,1309.3651770187196,2760.967005557745,566.7518420847525,130.47775947281716
112,2,0.00607,0.792,7840,2688,0.196,257,243.07,2810,2841.02798791403,1309.3651770187196,2760.967005557745,566.7518420847525,130.47775947281716
113,2,0.00607,0.792,7840,2698,0.232,145,266.05,2500,2585.46314034467,1309.3651770187196,2760.967005557745,566.7518420847525,130.47775947281716
114,2,0.00607,0.792,7840,2698,0.28,31,287.96,2260,2257.79113101839,1309.3651770187196,2760.967005557745,566.7518420847525,130.47775947281716
115,2,0.00607,0.792,7840,3207,0.065,529,183.21,3820,3973.83059399543,1309.3651770187196,2760.967005557745,566.7518420847525,130.47775947281716
116,2,0.00607,0.792,7840,3207,0.096,425,206.64,3461,3498.34379970767,1309.3651770187196,2760.967005557745,566.7518420847525,130.47775947281716
117,2,0.00607,0.792,7840,3207,0.124,323,229,3066,3191.30329106695,1309.3651770187196,2760.967005557745,566.7518420847525,130.47775947281716
118,2,0.00607,0.792,7840,3207,0.157,228,249.14,2800,2875.21054269512,1309.3651770187196,2760.967005557745,566.7518420847525,130.47775947281716
119,2,0.00607,0.792,7840,3216,0.208,99,275.1,2480,2515.47768702144,1309.3651770187196,2760.967005557745,566.7518420847525,130.47775947281716
120,2,0.00607,0.792,7840,4003,0.029,461,198.59,3880,4201.81561614131,1309.3651770187196,2760.967005557745,566.7518420847525,130.47775947281716
121,2,0.00607,0.792,7840,3994,0.075,309,232.02,3211,3413.81161823477,1309.3651770187196,2760.967005557745,566.7518420847525,130.47775947281716
122,2,0.00607,0.792,7840,4013,0.144,134,268.24,2620,2675.59041196447,1309.3651770187196,2760.967005557745,566.7518420847525,130.47775947281716
123,2,0.00607,0.792,7840,4013,0.189,36,287.04,2380,2414.21136714077,1309.3651770187196,2760.967005557745,566.7518420847525,130.47775947281716
124,2,0.00607,0.792,7840,4982,-0.024,551,178.18,4890,5361.64709204691,1309.3651770187196,2760.967005557745,566.7518420847525,130.47775947281716
125,2,0.00607,0.792,7840,4982,0.004,457,199.49,4440,4587.48262533133,1309.3651770187196,2760.967005557745,566.7518420847525,130.47775947281716
126,2,0.00607,0.792,7840,5002,0.044,319,229.87,3700,3685.16504274614,1309.3651770187196,2760.967005557745,566.7518420847525,130.47775947281716
127,2,0.00607,0.792,7840,4963,0.074,214,252.04,3050,3172.53376270895,1309.3651770187196,2760.967005557745,566.7518420847525,130.47775947281716
128,2,0.00607,0.792,7840,5011,0.109,109,273.15,2580,2710.56597889437,1309.3651770187196,2760.967005557745,566.7518420847525,130.47775947281716
129,2,0.00607,0.792,7840,5011,0.133,41,286.11,2260,2580.91934551461,1309.3651770187196,2760.967005557745,566.7518420847525,130.47775947281716
130,2,0.0078,0.789,7840,995,0.288,780,124.82,2960,3209.75485820252,1309.3651770187196,2760.967005557745,566.7518420847525,101.15384615384616
131,2,0.0078,0.789,7840,995,0.343,647,156.02,2820,2942.43223968243,1309.3651770187196,2760.967005557745,566.7518420847525,101.15384615384616
132,2,0.0078,0.789,7840,995,0.387,515,186.39,2660,2728.0226118682,1309.3651770187196,2760.967005557745,566.7518420847525,101.15384615384616
133,2,0.0078,0.789,7840,983,0.429,439,203.52,2580,2536.58806711401,1309.3651770187196,2760.967005557745,566.7518420847525,101.15384615384616
134,2,0.0078,0.789,7840,995,0.463,319,229.87,2450,2365.3448943929,1309.3651770187196,2760.967005557745,566.7518420847525,101.15384615384616
135,2,0.0078,0.776,7840,1599,0.144,652,154.86,3461,3796.39854179049,1309.3651770187196,2760.967005557745,566.7518420847525,99.48717948717949
136,2,0.0078,0.776,7840,1605,0.206,502,189.34,3250,3228.24770589909,1309.3651770187196,2760.967005557745,566.7518420847525,99.48717948717949
137,2,0.00807,0.778,7840,1613,0.249,370,218.78,3000,2865.60118020451,1309.3651770187196,2760.967005557745,566.7518420847525,96.40644361833952
138,2,0.00807,0.778,7840,1608,0.273,271,240.12,2790,2714.92475860312,1309.3651770187196,2760.967005557745,566.7518420847525,96.40644361833952
139,2,0.00807,0.778,7840,1581,0.331,119,271.2,2460,2409.53027745492,1309.3651770187196,2760.967005557745,566.7518420847525,96.40644361833952
140,2,0.00807,0.778,7840,2205,0.018,784,123.88,4600,4640.16091854336,1309.3651770187196,2760.967005557745,566.7518420847525,96.40644361833952
141,2,0.00807,0.778,7840,2211,0.044,686,146.93,4270,4263.79391869079,1309.3651770187196,2760.967005557745,566.7518420847525,96.40644361833952
142,2,0.00807,0.778,7840,2216,0.087,493,191.38,3540,3722.67233266066,1309.3651770187196,2760.967005557745,566.7518420847525,96.40644361833952
143,2,0.00807,0.778,7840,2200,0.141,347,223.8,3130,3193.41587455476,1309.3651770187196,2760.967005557745,566.7518420847525,96.40644361833952
144,2,0.00807,0.778,7840,2705,0.007,634,159.04,4520,4524.56110222724,1309.3651770187196,2760.967005557745,566.7518420847525,96.40644361833952
145,2,0.00807,0.778,7840,2662,0.059,479,194.54,3861,3779.53766627709,1309.3651770187196,2760.967005557745,566.7518420847525,96.40644361833952
146,2,0.00807,0.778,7840,2678,0.109,300,233.95,3170,3133.31718725115,1309.3651770187196,2760.967005557745,566.7518420847525,96.40644361833952
147,2,0.00807,0.778,7840,3199,-0.028,647,156.02,4990,5019.05691971319,1309.3651770187196,2760.967005557745,566.7518420847525,96.40644361833952
148,2,0.00807,0.778,7840,3210,-0.004,502,189.34,4140,4521.51260236599,1309.3651770187196,2760.967005557745,566.7518420847525,96.40644361833952
149,2,0.00807,0.778,7840,3199,0.049,375,217.69,3720,3664.63804766796,1309.3651770187196,2760.967005557745,566.7518420847525,96.40644361833952
150,2,0.00807,0.778,7840,3205,0.106,209,253.07,3011,2928.26925253146,1309.3651770187196,2760.967005557745,566.7518420847525,96.40644361833952
151,2,0.00802,1.57,7840,1001,0.577,617,162.98,1850,1854.44366918947,1309.3651770187196,2760.967005557745,566.7518420847525,195.76059850374068
152,2,0.00802,1.57,7840,1007,0.601,502,189.34,1750,1726.38124809195,1309.3651770187196,2760.967005557745,566.7518420847525,195.76059850374068
153,2,0.00802,1.57,7840,1001,0.622,351,222.93,1589,1496.95810001391,1309.3651770187196,2760.967005557745,566.7518420847525,195.76059850374068
154,2,0.00802,1.57,7840,1001,0.636,165,262.04,1389,1334.19158635335,1309.3651770187196,2760.967005557745,566.7518420847525,195.76059850374068
155,2,0.00802,1.57,7840,1023,0.633,52,284.06,1269,1328.3592586122,1309.3651770187196,2760.967005557745,566.7518420847525,195.76059850374068
156,2,0.00802,1.57,7840,1595,0.334,695,144.82,2389,2391.03257893918,1309.3651770187196,2760.967005557745,566.7518420847525,195.76059850374068
157,2,0.00802,1.57,7840,1606,0.347,612,164.14,2280,2317.87621690964,1309.3651770187196,2760.967005557745,566.7518420847525,195.76059850374068
158,2,0.00802,1.57,7840,1606,0.398,439,203.52,2080,2062.02304973279,1309.3651770187196,2760.967005557745,566.7518420847525,195.76059850374068
159,2,0.00802,1.57,7840,1595,0.432,300,233.95,1880,1780.13073756948,1309.3651770187196,2760.967005557745,566.7518420847525,195.76059850374068
160,2,0.00802,1.57,7840,1612,0.434,150,265.05,1600,1741.97918763819,1309.3651770187196,2760.967005557745,566.7518420847525,195.76059850374068
161,2,0.00802,1.57,7840,1606,0.46,47,285,1470,1464.70485380527,1309.3651770187196,2760.967005557745,566.7518420847525,195.76059850374068
162,2,0.00802,1.57,7840,2206,0.247,524,184.35,2480,2434.75655648397,1309.3651770187196,2760.967005557745,566.7518420847525,195.76059850374068
163,2,0.00802,1.57,7840,2206,0.267,434,204.63,2320,2301.96679527296,1309.3651770187196,2760.967005557745,566.7518420847525,195.76059850374068
164,2,0.00802,1.57,7840,2206,0.306,305,232.87,2100,2049.18761521077,1309.3651770187196,2760.967005557745,566.7518420847525,195.76059850374068
165,2,0.00802,1.57,7840,2206,0.334,199,255.13,1910,1901.21877120939,1309.3651770187196,2760.967005557745,566.7518420847525,195.76059850374068
166,2,0.00802,1.57,7840,2195,0.355,109,273.15,1750,1789.7660289734,1309.3651770187196,2760.967005557745,566.7518420847525,195.76059850374068
167,2,0.00802,1.57,7840,2706,0.136,612,164.14,2810,2895.24411274555,1309.3651770187196,2760.967005557745,566.7518420847525,195.76059850374068
168,2,0.00802,1.57,7840,2717,0.178,479,194.54,2560,2579.12377810308,1309.3651770187196,2760.967005557745,566.7518420847525,195.76059850374068
169,2,0.00802,1.57,7840,2706,0.215,342,224.89,2260,2346.89822444536,1309.3651770187196,2760.967005557745,566.7518420847525,195.76059850374068
170,2,0.00802,1.57,7840,2706,0.251,243,246.01,2110,2133.07352407876,1309.3651770187196,2760.967005557745,566.7518420847525,195.76059850374068
171,2,0.00802,1.57,7840,2728,0.28,145,266.05,1920,1956.6169395248,1309.3651770187196,2760.967005557745,566.7518420847525,195.76059850374068
172,2,0.00802,1.595,7840,2706,0.132,634,159.04,2820,2929.90904542788,1309.3651770187196,2760.967005557745,566.7518420847525,198.8778054862843
173,2,0.00802,1.595,7840,2689,0.157,546,179.32,2630,2735.79413120765,1309.3651770187196,2760.967005557745,566.7518420847525,198.8778054862843
174,2,0.00802,1.595,7840,2706,0.185,452,200.61,2539,2537.38351446374,1309.3651770187196,2760.967005557745,566.7518420847525,198.8778054862843
175,2,0.00802,1.595,7840,2706,0.214,314,230.94,2139,2352.83914852582,1309.3651770187196,2760.967005557745,566.7518420847525,198.8778054862843
176,2,0.00802,1.595,7840,2695,0.276,174,260.22,1960,1988.76434834759,1309.3651770187196,2760.967005557745,566.7518420847525,198.8778054862843
177,2,0.00802,1.595,7840,2695,0.32,20,289.98,1650,1699.89573671518,1309.3651770187196,2760.967005557745,566.7518420847525,198.8778054862843
178,2,0.00384,0.799,9800,3982,0.112,489,212.2,3070,2948.13725884132,1399.1843340369703,2729.08724642355,582.6677976573421,208.07291666666669
179,2,0.00384,0.799,9800,4054,0.118,439,223.2,2920,2868.92503284861,1399.1843340369703,2729.08724642355,582.6677976573421,208.07291666666669
180,2,0.00384,0.799,9800,3910,0.141,387,234.46,2710,2663.77393771489,1399.1843340369703,2729.08724642355,582.6677976573421,208.07291666666669
181,2,0.00384,0.799,9800,3958,0.159,335,245.52,2600,2498.62711941717,1399.1843340369703,2729.08724642355,582.6677976573421,208.07291666666669
182,2,0.00384,0.799,9800,3982,0.16,296,253.65,2450,2487.06399441386,1399.1843340369703,2729.08724642355,582.6677976573421,208.07291666666669
183,2,0.00384,0.799,9800,3886,0.198,226,267.89,2310,2279.91746127976,1399.1843340369703,2729.08724642355,582.6677976573421,208.07291666666669
184,2,0.00384,0.799,9800,4006,0.208,175,277.93,2189,2205.01841130207,1399.1843340369703,2729.08724642355,582.6677976573421,208.07291666666669
185,2,0.00384,0.799,9800,3910,0.238,106,290.97,2010,1994.39299638595,1399.1843340369703,2729.08724642355,582.6677976573421,208.07291666666669
186,2,0.00384,0.799,9800,3982,0.261,51,300.85,1920,1856.22360842446,1399.1843340369703,2729.08724642355,582.6677976573421,208.07291666666669
187,2,0.00384,0.799,9800,5013,0.033,620,182.7,4000,4697.38708844224,1399.1843340369703,2729.08724642355,582.6677976573421,208.07291666666669
188,2,0.00384,0.799,9800,5013,0.055,553,197.9,3770,4070.85529430672,1399.1843340369703,2729.08724642355,582.6677976573421,208.07291666666669
189,2,0.00384,0.799,9800,5013,0.066,503,209.09,3561,3814.80439899697,1399.1843340369703,2729.08724642355,582.6677976573421,208.07291666666669
190,2,0.00384,0.799,9800,5013,0.081,457,219.26,3400,3465.64408721093,1399.1843340369703,2729.08724642355,582.6677976573421,208.07291666666669
191,2,0.00384,0.799,9800,5013,0.088,406,230.37,3150,3302.70260837745,1399.1843340369703,2729.08724642355,582.6677976573421,208.07291666666669
192,2,0.00384,0.799,9800,4990,0.107,363,239.59,3050,2954.74727279124,1399.1843340369703,2729.08724642355,582.6677976573421,208.07291666666669
