Number,Reference ID,Tube Diameter,Heated Length,Pressure,Mass Flux,Outlet Quality,Inlet Subcooling,Inlet Temperature,CHF,CHF LUT,AI CHF
111,2,0.00607,0.792,7840,2688,0.159,351,222.93,3000,3129.69581316759,3110.67578125
112,2,0.00607,0.792,7840,2688,0.196,257,243.07,2810,2841.02798791403,2869.271728515625
113,2,0.00607,0.792,7840,2698,0.232,145,266.05,2500,2585.46314034467,2594.6806640625
114,2,0.00607,0.792,7840,2698,0.28,31,287.96,2260,2257.79113101839,2224.1396484375
115,2,0.00607,0.792,7840,3207,0.065,529,183.21,3820,3973.83059399543,3815.30078125
116,2,0.00607,0.792,7840,3207,0.096,425,206.64,3461,3498.34379970767,3536.107666015625
117,2,0.00607,0.792,7840,3207,0.124,323,229,3066,3191.30329106695,3266.29052734375
118,2,0.00607,0.792,7840,3207,0.157,228,249.14,2800,2875.21054269512,2982.21630859375
119,2,0.00607,0.792,7840,3216,0.208,99,275.1,2480,2515.47768702144,2488.435546875
120,2,0.00607,0.792,7840,4003,0.029,461,198.59,3880,4201.81561614131,3996.439697265625
121,2,0.00607,0.792,7840,3994,0.075,309,232.02,3211,3413.81161823477,3410.456787109375
122,2,0.00607,0.792,7840,4013,0.144,134,268.24,2620,2675.59041196447,2726.674072265625
123,2,0.00607,0.792,7840,4013,0.189,36,287.04,2380,2414.21136714077,2380.426513671875
124,2,0.00607,0.792,7840,4982,-0.024,551,178.18,4890,5361.64709204691,4987.11474609375
125,2,0.00607,0.792,7840,4982,0.004,457,199.49,4440,4587.48262533133,4357.0361328125
126,2,0.00607,0.792,7840,5002,0.044,319,229.87,3700,3685.16504274614,3593.302978515625
127,2,0.00607,0.792,7840,4963,0.074,214,252.04,3050,3172.53376270895,3165.885009765625
128,2,0.00607,0.792,7840,5011,0.109,109,273.15,2580,2710.56597889437,2773.1123046875
129,2,0.00607,0.792,7840,5011,0.133,41,286.11,2260,2580.91934551461,2538.6484375
130,2,0.0078,0.789,7840,995,0.288,780,124.82,2960,3209.75485820252,3148.064453125
131,2,0.0078,0.789,7840,995,0.343,647,156.02,2820,2942.43223968243,3081.550048828125
132,2,0.0078,0.789,7840,995,0.387,515,186.39,2660,2728.0226118682,2970.5244140625
133,2,0.0078,0.789,7840,983,0.429,439,203.52,2580,2536.58806711401,2814.064208984375
134,2,0.0078,0.789,7840,995,0.463,319,229.87,2450,2365.3448943929,2542.2880859375
135,2,0.0078,0.776,7840,1599,0.144,652,154.86,3461,3796.39854179049,3723.64892578125
136,2,0.0078,0.776,7840,1605,0.206,502,189.34,3250,3228.24770589909,3397.27734375
137,2,0.00807,0.778,7840,1613,0.249,370,218.78,3000,2865.60118020451,3101.205078125
138,2,0.00807,0.778,7840,1608,0.273,271,240.12,2790,2714.92475860312,2845.748779296875
139,2,0.00807,0.778,7840,1581,0.331,119,271.2,2460,2409.53027745492,2459.164306640625
140,2,0.00807,0.778,7840,2205,0.018,784,123.88,4600,4640.16091854336,4714.3330078125
141,2,0.00807,0.778,7840,2211,0.044,686,146.93,4270,4263.79391869079,4343.2705078125
142,2,0.00807,0.778,7840,2216,0.087,493,191.38,3540,3722.67233266066,3702.149658203125
143,2,0.00807,0.778,7840,2200,0.141,347,223.8,3130,3193.41587455476,3306.27734375
144,2,0.00807,0.778,7840,2705,0.007,634,159.04,4520,4524.56110222724,4484.0009765625
145,2,0.00807,0.778,7840,2662,0.059,479,194.54,3861,3779.53766627709,3873.6943359375
146,2,0.00807,0.778,7840,2678,0.109,300,233.95,3170,3133.31718725115,3400.2109375
147,2,0.00807,0.778,7840,3199,-0.028,647,156.02,4990,5019.05691971319,4962.98828125
148,2,0.00807,0.778,7840,3210,-0.004,502,189.34,4140,4521.51260236599,4259.93896484375
149,2,0.00807,0.778,7840,3199,0.049,375,217.69,3720,3664.63804766796,3783.088134765625
150,2,0.00807,0.778,7840,3205,0.106,209,253.07,3011,2928.26925253146,3110.739013671875
151,2,0.00802,1.57,7840,1001,0.577,617,162.98,1850,1854.44366918947,1938.061279296875
152,2,0.00802,1.57,7840,1007,0.601,502,189.34,1750,1726.38124809195,1850.673095703125
153,2,0.00802,1.57,7840,1001,0.622,351,222.93,1589,1496.95810001391,1650.985107421875
154,2,0.00802,1.57,7840,1001,0.636,165,262.04,1389,1334.19158635335,1416.0714111328125
155,2,0.00802,1.57,7840,1023,0.633,52,284.06,1269,1328.3592586122,1291.660888671875
156,2,0.00802,1.57,7840,1595,0.334,695,144.82,2389,2391.03257893918,2379.868896484375
157,2,0.00802,1.57,7840,1606,0.347,612,164.14,2280,2317.87621690964,2290.45703125
158,2,0.00802,1.57,7840,1606,0.398,439,203.52,2080,2062.02304973279,2030.84228515625
159,2,0.00802,1.57,7840,1595,0.432,300,233.95,1880,1780.13073756948,1833.099609375
160,2,0.00802,1.57,7840,1612,0.434,150,265.05,1600,1741.97918763819,1629.47412109375
161,2,0.00802,1.57,7840,1606,0.46,47,285,1470,1464.70485380527,1494.7557373046875
162,2,0.00802,1.57,7840,2206,0.247,524,184.35,2480,2434.75655648397,2391.747802734375
163,2,0.00802,1.57,7840,2206,0.267,434,204.63,2320,2301.96679527296,2248.260498046875
164,2,0.00802,1.57,7840,2206,0.306,305,232.87,2100,2049.18761521077,2046.9698486328125
165,2,0.00802,1.57,7840,2206,0.334,199,255.13,1910,1901.21877120939,1898.8160400390625
166,2,0.00802,1.57,7840,2195,0.355,109,273.15,1750,1789.7660289734,1769.4683837890625
167,2,0.00802,1.57,7840,2706,0.136,612,164.14,2810,2895.24411274555,2767.328857421875
168,2,0.00802,1.57,7840,2717,0.178,479,194.54,2560,2579.12377810308,2519.167236328125
169,2,0.00802,1.57,7840,2706,0.215,342,224.89,2260,2346.89822444536,2294.668701171875
170,2,0.00802,1.57,7840,2706,0.251,243,246.01,2110,2133.07352407876,2137.79052734375
171,2,0.00802,1.57,7840,2728,0.28,145,266.05,1920,1956.6169395248,1945.9500732421875
172,2,0.00802,1.595,7840,2706,0.132,634,159.04,2820,2929.90904542788,2780.912841796875
173,2,0.00802,1.595,7840,2689,0.157,546,179.32,2630,2735.79413120765,2593.40087890625
174,2,0.00802,1.595,7840,2706,0.185,452,200.61,2539,2537.38351446374,2446.857421875
175,2,0.00802,1.595,7840,2706,0.214,314,230.94,2139,2352.83914852582,2226.601806640625
176,2,0.00802,1.595,7840,2695,0.276,174,260.22,1960,1988.76434834759,1987.4661865234375
177,2,0.00802,1.595,7840,2695,0.32,20,289.98,1650,1699.89573671518,1644.566162109375
178,2,0.00384,0.799,9800,3982,0.112,489,212.2,3070,2948.13725884132,3073.864013671875
179,2,0.00384,0.799,9800,4054,0.118,439,223.2,2920,2868.92503284861,2920.147216796875
180,2,0.00384,0.799,9800,3910,0.141,387,234.46,2710,2663.77393771489,2725.96435546875
181,2,0.00384,0.799,9800,3958,0.159,335,245.52,2600,2498.62711941717,2617.51708984375
182,2,0.00384,0.799,9800,3982,0.16,296,253.65,2450,2487.06399441386,2531.26123046875
183,2,0.00384,0.799,9800,3886,0.198,226,267.89,2310,2279.91746127976,2350.611572265625
184,2,0.00384,0.799,9800,4006,0.208,175,277.93,2189,2205.01841130207,2279.804931640625
185,2,0.00384,0.799,9800,3910,0.238,106,290.97,2010,1994.39299638595,2068.629638671875
186,2,0.00384,0.799,9800,3982,0.261,51,300.85,1920,1856.22360842446,1932.8856201171875
187,2,0.00384,0.799,9800,5013,0.033,620,182.7,4000,4697.38708844224,4340.36474609375
188,2,0.00384,0.799,9800,5013,0.055,553,197.9,3770,4070.85529430672,4035.18359375
189,2,0.00384,0.799,9800,5013,0.066,503,209.09,3561,3814.80439899697,3821.50927734375
190,2,0.00384,0.799,9800,5013,0.081,457,219.26,3400,3465.64408721093,3627.914794921875
191,2,0.00384,0.799,9800,5013,0.088,406,230.37,3150,3302.70260837745,3410.5947265625
192,2,0.00384,0.799,9800,4990,0.107,363,239.59,3050,2954.74727279124,3169.091796875
193,2,0.00384,0.799,9800,5013,0.117,315,249.71,2850,2862.03908011103,2918.302490234375
194,2,0.00384,0.799,9800,5013,0.129,271,258.8,2710,2748.15535387273,2723.52734375
195,2,0.00384,0.799,9800,4990,0.16,206,271.87,2550,2510.4125011801,2478.691162109375
196,2,0.00384,0.799,9800,5013,0.196,149,282.92,2489,2392.82992270721,2312.54150390625
197,2,0.00384,0.799,9800,4990,0.216,106,290.97,2376,2301.1632121776,2186.75146484375
198,2,0.00384,0.799,9800,4990,0.246,51,300.85,2289,2167.84033331579,2033.963134765625
199,2,0.00384,0.799,9800,7460,-0.003,526,203.96,4681,6583.34313876446,5066.71923828125
200,2,0.00384,0.799,9800,7460,0.013,480,214.19,4450,5952.81290533967,4768.357421875
201,2,0.00384,0.799,9800,7532,0.03,387,234.46,3890,5365.0546273773,4278.29150390625
202,2,0.00384,0.799,9800,7484,0.047,335,245.52,3590,4707.06598465403,3963.711669921875
203,2,0.00384,0.799,9800,7460,0.052,291,254.69,3250,4543.69950674039,3721.3544921875
204,2,0.00384,0.799,9800,7532,0.064,236,265.89,2960,4321.02299037344,3463.646484375
205,2,0.00384,0.799,9800,7556,0.082,185,275.98,2720,3953.23128517852,3215.03125
206,2,0.00384,0.799,9800,7460,0.104,138,285,2520,3433.68310791512,2942.831787109375
207,2,0.00384,1.549,9800,3982,0.218,530,203.07,2020,2132.11182019737,2015.7821044921875
208,2,0.00384,1.549,9800,3958,0.224,471,216.18,1889,2090.32089831235,1925.10546875
209,2,0.00384,1.549,9800,3934,0.234,429,225.38,1810,2020.29062006072,1858.2620849609375
210,2,0.00384,1.549,9800,4006,0.243,373,237.46,1730,1947.3200816402,1803.6278076171875
211,2,0.00384,1.549,9800,3982,0.259,315,249.71,1630,1863.69729218907,1714.353271484375
212,2,0.00384,1.549,9800,3982,0.269,261,260.84,1530,1826.32887336604,1638.645263671875
213,2,0.00384,1.549,9800,3958,0.289,206,271.87,1450,1748.88726517888,1555.653076171875
214,2,0.00384,1.549,9800,3958,0.306,154,281.97,1380,1654.53003311281,1492.2626953125
215,2,0.00384,1.549,9800,4006,0.292,165,279.86,1389,1744.58582092133,1519.5128173828125
216,2,0.00384,1.549,9800,3934,0.339,79,295.88,1300,1365.70356346543,1393.91357421875
217,2,0.0051,2.6,9800,1986,0.382,687,167.3,1139,953.353881237729,1079.26708984375
218,2,0.0051,2.6,9800,1986,0.391,673,170.53,1139,814.39869884222,1072.435546875
219,2,0.0051,2.6,9800,2503,0.392,443,222.33,1174,595.201239900678,996.79736328125
220,2,0.0051,2.6,9800,2992,0.337,359,240.44,1163,1025.41568466364,1028.741455078125
221,2,0.0051,2.6,9800,3441,0.301,281,256.75,1163,1390.45014019575,1063.415771484375
222,2,0.0051,2.6,9800,3998,0.289,206,271.87,1174,1521.45930784572,1122.777099609375
223,2,0.0051,2.6,9800,4746,0.317,84,294.98,1186,1546.10455018377,1111.70263671875
224,2,0.0051,2.6,9800,5304,0.131,521,205.08,1779,2418.62069072155,1874.1448974609375
225,2,0.0051,2.6,9800,5304,0.124,535,201.95,1791,2469.01982284341,1901.040771484375
226,2,0.00607,0.792,9800,1604,0.237,503,209.09,2489,2523.85690414716,2531.960693359375
227,2,0.00607,0.792,9800,1613,0.27,387,234.46,2310,2275.3604039222,2296.170166015625
228,2,0.00607,0.792,9800,1584,0.304,291,254.69,2110,2092.60330980243,2103.244140625
229,2,0.00607,0.792,9800,1594,0.344,165,279.86,1900,1807.36639491584,1889.5013427734375
230,2,0.00607,0.792,9800,1594,0.385,51,300.85,1710,1446.97187563707,1697.615478515625
231,2,0.00607,0.792,9800,2208,0.095,629,180.64,3170,3405.79768187205,3207.5068359375
232,2,0.00607,0.792,9800,2199,0.12,526,203.96,2870,3117.35704764578,2845.131591796875
233,2,0.00607,0.792,9800,2208,0.171,373,237.46,2539,2560.40544281062,2470.856689453125
234,2,0.00607,0.792,9800,2208,0.22,216,269.88,2170,2140.83468315104,2164.990234375
235,2,0.00607,0.792,9800,2199,0.285,57,299.79,1820,1688.9265266316,1882.97509765625
236,2,0.00607,0.792,9800,2707,0.011,791,143.07,4130,4411.12276258743,4180.29248046875
237,2,0.00607,0.792,9800,2707,0.044,682,168.46,3811,3844.73978015946,3771.867919921875
238,2,0.00607,0.792,9800,2698,0.068,549,198.8,3280,3485.59932463941,3212.514404296875
239,2,0.00607,0.792,9800,2707,0.103,411,229.29,2820,2984.73102967202,2775.05078125
240,2,0.00607,0.792,9800,2707,0.143,266,259.82,2360,2537.18384575428,2425.9619140625
241,2,0.00607,0.792,9800,2659,0.213,112,289.86,2010,1956.31770627009,2106.284912109375
242,2,0.00607,0.792,9800,2707,0.226,45,301.89,1800,1854.67903747746,1933.3946533203125
243,2,0.00607,0.792,9800,3197,0.007,665,172.38,4090,4369.73550837409,4037.882080078125
244,2,0.00607,0.792,9800,3207,0.035,544,199.93,3590,3847.74701303996,3531.6015625
245,2,0.00607,0.792,9800,3197,0.067,411,229.29,3040,3300.40724585351,2985.911376953125
246,2,0.00607,0.792,9800,3207,0.096,315,249.71,2710,2834.93027302428,2748.717041015625
247,2,0.00607,0.792,9800,3207,0.13,216,269.88,2380,2443.82279128282,2473.7294921875
248,2,0.00607,0.792,9800,3197,0.193,57,299.79,1920,1909.86958943412,2010.5433349609375
249,2,0.00607,0.792,9800,4003,0.011,480,214.19,3761,4192.05429301983,3804.355712890625
250,2,0.00607,0.792,9800,4023,0.056,325,247.62,3030,3276.81491079132,3045.744384765625
251,2,0.00607,0.792,9800,4023,0.099,159,281.01,2239,2454.1737170551,2390.42431640625
252,2,0.00607,0.792,9800,4003,0.139,68,297.85,1930,2110.54028993097,2125.583984375
253,2,0.00607,0.792,9800,5002,0.02,373,237.46,3811,4043.00233217946,3658.021728515625
254,2,0.00607,0.792,9800,5002,0.041,266,259.82,3090,3543.37613397741,3076.27880859375
255,2,0.00607,0.792,9800,5002,0.066,165,279.86,2460,3033.1948088283,2582.219482421875
256,2,0.00607,0.792,9800,5011,0.111,57,299.79,1970,2321.4934389149,2264.40283203125
257,2,0.0074,3.8,9800,1260,0.603,330,246.57,697,377.321543293863,702.6963500976562
258,2,0.0074,3.8,9800,1486,0.507,291,254.69,697,384.464837109025,728.8143920898438
259,2,0.0074,3.8,9800,2003,0.391,211,270.88,709,654.289047707554,769.2368774414062
260,2,0.0074,3.8,9800,2519,0.331,133,285.95,709,1011.76569688461,814.9473266601562
261,2,0.0074,3.8,9800,3049,0.333,28,304.82,709,885.091447377147,847.7232055664062
262,2,0.0074,3.8,9800,1486,0.5,965,101.89,1174,396.120814410084,1100.849365234375
263,2,0.0074,3.8,9800,1983,0.388,709,162.21,1174,718.916411321108,1113.7294921875
264,2,0.0074,3.8,9800,2003,0.397,691,166.38,1174,576.56987791053,1104.8055419921875
265,2,0.0074,3.8,9800,2519,0.302,540,200.83,1151,1264.29968031982,1103.2225341796875
266,2,0.0074,3.8,9800,2558,0.305,540,200.83,1174,1225.36807814338,1111.378173828125
267,2,0.0074,3.8,9800,3004,0.269,453,220.14,1174,1334.08325811043,1142.9677734375
268,2,0.0074,3.8,9800,3475,0.267,335,245.52,1163,1334.62414463324,1157.815185546875
269,2,0.0074,3.8,9800,3940,0.265,256,261.85,1163,1327.91941757469,1205.672607421875
270,2,0.0074,3.8,9800,4496,0.287,154,281.97,1163,1371.8323562138,1187.2388916015625
271,2,0.0074,3.8,9800,5529,0.266,90,293.89,1174,1665.21757076977,1225.498291015625
272,2,0.0074,3.8,9800,5878,0.284,34,303.79,1174,1651.20276559949,1185.5472412109375
273,2,0.0074,3.8,9800,5943,0.287,28,304.82,1174,1648.76993244939,1184.945068359375
274,2,0.0104,3.8,9800,668,0.779,611,184.76,755,534.637322100673,830.3251953125
275,2,0.0104,3.8,9800,668,0.766,594,188.63,732,580.819169946957,825.8539428710938
276,2,0.0104,3.8,9800,896,0.564,485,213.09,755,882.631168719057,854.244140625
277,2,0.0104,3.8,9800,896,0.568,466,217.28,755,862.160325824009,842.6355590820312
278,2,0.0104,3.8,9800,1112,0.444,387,234.46,767,1199.23659631684,879.5994873046875
279,2,0.0104,3.8,9800,1325,0.394,315,249.71,767,1331.16428102985,913.8036499023438
280,2,0.0104,3.8,9800,1662,0.347,191,274.81,744,1307.07393896901,904.2474365234375
281,2,0.0104,3.8,9800,1685,0.298,897,118.06,1477,1549.69402173035,1452.8358154296875
282,2,0.0104,3.8,9800,1688,0.318,553,197.9,1128,1440.83574144493,1170.6102294921875
283,2,0.0104,3.8,9800,1688,0.329,530,203.07,1104,1381.69309504546,1151.44580078125
284,2,0.0104,3.8,9800,2002,0.312,128,286.88,755,1221.07020494583,932.9181518554688
285,2,0.0104,3.8,9800,2015,0.328,112,289.86,767,1121.69335686989,924.4649047851562
286,2,0.0104,3.8,9800,2240,0.223,682,168.46,1500,1605.25010424677,1468.5726318359375
287,2,0.0104,3.8,9800,2240,0.285,354,241.5,1104,1273.15215540081,1145.275146484375
288,2,0.0104,3.8,9800,2420,0.299,57,299.79,755,1124.68531751463,972.7001953125
289,2,0.0104,3.8,9800,2747,0.25,261,260.84,1081,1292.64143705943,1198.9024658203125
290,2,0.0104,3.8,9800,2806,0.159,558,196.78,1477,1775.82462788474,1519.0543212890625
